investor,stock,company,sector,pct,shares,value_idr,type,lf
PT TRISULA INTERNATIONAL TBK,BELL,TRISULA TEXTILE INDUSTRIES Tbk,"TEXTILE, GARMENT",78.12,5663850000,906216000000.0,Corporation,Local
PT SOUTHERN CROSS TEXTILE INDUSTRY,BELL,TRISULA TEXTILE INDUSTRIES Tbk,"TEXTILE, GARMENT",9.88,716249700,114599952000.0,Corporation,Local
PT.TRITIRTA INTI MANDIRI,BELL,TRISULA TEXTILE INDUSTRIES Tbk,"TEXTILE, GARMENT",2.7,195890700,31342512000.0,Corporation,Local
PT BATULICIN ENAM SEMBILAN TRANSPORTASI,BESS,BATULICIN NUSANTARA MARITIM Tbk,TRANSPORTATION,78.36,2695947180,3289055559600.0,Corporation,Local
PT. Mega Asta Raya,BESS,BATULICIN NUSANTARA MARITIM Tbk,TRANSPORTATION,6.07,208854100,254802002000.0,Corporation,Local
PT. Lestari Dharma Raya,BESS,BATULICIN NUSANTARA MARITIM Tbk,TRANSPORTATION,4.38,150750700,183915854000.0,Corporation,Local
DAFFA KARISMA INTI PT,BESS,BATULICIN NUSANTARA MARITIM Tbk,TRANSPORTATION,3.91,134551400,164152708000.0,Corporation,Local
"NAGARA ARDITO SOESANTO, ST",BESS,BATULICIN NUSANTARA MARITIM Tbk,TRANSPORTATION,1.43,49218800,60046936000.0,Individual,Local
RHENO SETYAWAN MALEPPE,BESS,BATULICIN NUSANTARA MARITIM Tbk,TRANSPORTATION,1.4,48094400,58675168000.0,Individual,Local
PT ARGO MANUNGGAL LAND DEVELOPMENT,BEST,BEKASI FAJAR INDUSTRIAL ESTATE Tbk,PROPERTY AND REAL ESTATE,48.13,4643604400,487578462000.0,Corporation,Local
DAIWA HOUSE INDUSTRY CO. LTD,BEST,BEKASI FAJAR INDUSTRIAL ESTATE Tbk,PROPERTY AND REAL ESTATE,10.0,964750000,101298750000.0,Corporation,Foreign
REKSA DANA SUCORINVEST SHARIA EQUITY FUND,BEST,BEKASI FAJAR INDUSTRIAL ESTATE Tbk,PROPERTY AND REAL ESTATE,2.25,216842300,22768441500.0,Mutual Fund,Local
PT IMC PELITA LOGISTIK TBK,BEST,BEKASI FAJAR INDUSTRIAL ESTATE Tbk,PROPERTY AND REAL ESTATE,2.05,197733600,20762028000.0,Corporation,Local
TAN ALIN HERAWATI,BEST,BEKASI FAJAR INDUSTRIAL ESTATE Tbk,PROPERTY AND REAL ESTATE,1.87,180742500,18977962500.0,Individual,Local
"PANIN SEKURITAS Tbk, PT",BEST,BEKASI FAJAR INDUSTRIAL ESTATE Tbk,PROPERTY AND REAL ESTATE,1.51,145953000,15325065000.0,Securities Co,Local
PT ASURANSI JIWA MANULIFE INDONESIA,BEST,BEKASI FAJAR INDUSTRIAL ESTATE Tbk,PROPERTY AND REAL ESTATE,1.4,134637500,14136937500.0,Insurance,Local
DRS LO KHENG HONG,BEST,BEKASI FAJAR INDUSTRIAL ESTATE Tbk,PROPERTY AND REAL ESTATE,1.34,129590000,13606950000.0,Individual,Local
PT. KAWASAN LINTAS BIRU DIGITAL,BEST,BEKASI FAJAR INDUSTRIAL ESTATE Tbk,PROPERTY AND REAL ESTATE,1.08,104086000,10929030000.0,Corporation,Local
RAHMAN KAMARUDDIN,BEST,BEKASI FAJAR INDUSTRIAL ESTATE Tbk,PROPERTY AND REAL ESTATE,1.08,104500000,10972500000.0,Individual,Local
DAVID ISKANDAR,BEST,BEKASI FAJAR INDUSTRIAL ESTATE Tbk,PROPERTY AND REAL ESTATE,1.08,103771400,10895997000.0,Individual,Local
TRINUGRAHA CAPITAL AND CO SCA,BFIN,BFI FINANCE INDONESIA Tbk,FINANCIAL INSTITUTION,51.12,7688125938,5458569415980.0,Others,Foreign
BODEGA HEAD INVESMENT HOLDING LTD,BFIN,BFI FINANCE INDONESIA Tbk,FINANCIAL INSTITUTION,4.93,741407300,526399183000.0,Corporation,Foreign
NTASIAN DISCOVERY MASTER FUND,BFIN,BFI FINANCE INDONESIA Tbk,FINANCIAL INSTITUTION,3.86,580325000,412030750000.0,Mutual Fund,Foreign
PANGOLIN INV MANAG PTE LTD-PANGOLIN ASIA FUND,BFIN,BFI FINANCE INDONESIA Tbk,FINANCIAL INSTITUTION,2.31,347613700,246805727000.0,Insurance/Pension,Foreign
LAY SIOE HO,BFIN,BFI FINANCE INDONESIA Tbk,FINANCIAL INSTITUTION,2.25,338743220,240507686200.0,Individual,Local
JONATHAN CHANG,BFIN,BFI FINANCE INDONESIA Tbk,FINANCIAL INSTITUTION,2.08,312917100,222171141000.0,Individual,Local
MERIE PRANOTO,BFIN,BFI FINANCE INDONESIA Tbk,FINANCIAL INSTITUTION,1.98,297649380,211331059800.0,Individual,Local
BFI FINANCE INDONESIA TBK PT,BFIN,BFI FINANCE INDONESIA Tbk,FINANCIAL INSTITUTION,1.93,290000000,205900000000.0,Corporation,Local
GSCO LLC S/A ESCHATON OPPORTUNITIES FUND II LP,BFIN,BFI FINANCE INDONESIA Tbk,FINANCIAL INSTITUTION,1.72,259314298,184113151580.0,Insurance/Pension,Foreign
"EQUITY DEVELOPMENT INVESTMENT, PT.",BGTG,BANK GANESHA Tbk,BANK,33.53,8036410000,900077920000.0,Corporation,Local
EQUITY GLOBAL INTERNATIONAL LIMITED,BGTG,BANK GANESHA Tbk,BANK,23.93,5736363400,642472700800.0,Corporation,Foreign
UOB KAY HIAN PRIVATE LIMITED,BGTG,BANK GANESHA Tbk,BANK,5.79,1388305300,155490193600.0,Securities Co,Foreign
PT. GEMILANG PERSADA PROPERTI,BGTG,BANK GANESHA Tbk,BANK,4.29,1028531000,115195472000.0,Corporation,Local
PT. KEMILAU CAHAYA SAKTI,BGTG,BANK GANESHA Tbk,BANK,4.17,1000000000,112000000000.0,Corporation,Local
PT SATYA MULIA GEMA GEMILANG,BGTG,BANK GANESHA Tbk,BANK,3.3,791165068,88610487616.0,Corporation,Local
"PRIMA TUNAS INVESTAMA, PT.",BGTG,BANK GANESHA Tbk,BANK,3.29,788500000,88312000000.0,Corporation,Local
PT. BUANA PERSADA PROPERTI,BGTG,BANK GANESHA Tbk,BANK,2.78,666280000,74623360000.0,Corporation,Local
GUNAWAN GOZALI,BGTG,BANK GANESHA Tbk,BANK,2.24,537600000,60211200000.0,Individual,Local
PHILLIP SECURITIES PTE LTD,BGTG,BANK GANESHA Tbk,BANK,1.8,431920000,48375040000.0,Securities Co,Foreign
CENTRIX INVESTMENT LIMITED,BGTG,BANK GANESHA Tbk,BANK,1.66,396824000,44444288000.0,Corporation,Foreign
FIRST PACIFIC CAPITAL GROUP LIMITED,BGTG,BANK GANESHA Tbk,BANK,1.39,333720000,37376640000.0,Corporation,Foreign
ROY TJOKROWIDJOYO,BGTG,BANK GANESHA Tbk,BANK,1.16,277543200,31084838400.0,Individual,Local
PT. TIRTA BUMI DWIKARYA,BGTG,BANK GANESHA Tbk,BANK,1.0,239710000,26847520000.0,Corporation,Local
PT BHAKTI ARTHA GLOBAL,BHAT,BHAKTI MULTI ARTHA Tbk,OTHERS - MISCELLANENEOUS INDUSTRY,25.1,1254849375,1763063371875.0,Corporation,Local
PT SURYA DUTA MAS,BHAT,BHAKTI MULTI ARTHA Tbk,OTHERS - MISCELLANENEOUS INDUSTRY,6.0,300000000,421500000000.0,Corporation,Local
PT CIPTA DINAMIKA PRIMA,BHAT,BHAKTI MULTI ARTHA Tbk,OTHERS - MISCELLANENEOUS INDUSTRY,4.88,243775000,342503875000.0,Corporation,Local
DICKSON INVESTMENT LIMITED,BHAT,BHAKTI MULTI ARTHA Tbk,OTHERS - MISCELLANENEOUS INDUSTRY,4.85,242500000,340712500000.0,Corporation,Foreign
GOODSTAR (H.K.) LIMITED,BHAT,BHAKTI MULTI ARTHA Tbk,OTHERS - MISCELLANENEOUS INDUSTRY,4.85,242375625,340537753125.0,Corporation,Foreign
"PACIFIC LIFE INSURANCE, PT",BHAT,BHAKTI MULTI ARTHA Tbk,OTHERS - MISCELLANENEOUS INDUSTRY,4.85,242390000,340557950000.0,Insurance,Local
PT SETIABUDI DANA UNGGULAN,BHAT,BHAKTI MULTI ARTHA Tbk,OTHERS - MISCELLANENEOUS INDUSTRY,4.83,241250000,338956250000.0,Corporation,Local
PAG INVESTMENT MANAGEMENT PTE LTD,BHAT,BHAKTI MULTI ARTHA Tbk,OTHERS - MISCELLANENEOUS INDUSTRY,4.79,239500000,336497500000.0,Corporation,Foreign
EQT ASIA INVESTMENT LIMITED,BHAT,BHAKTI MULTI ARTHA Tbk,OTHERS - MISCELLANENEOUS INDUSTRY,4.72,235750000,331228750000.0,Corporation,Foreign
EASTERN PEAK GROUP CORPORATION,BHAT,BHAKTI MULTI ARTHA Tbk,OTHERS - MISCELLANENEOUS INDUSTRY,4.13,206536000,290183080000.0,Others,Foreign
PT SUMBER TEKNOLOGI MULIA,BHAT,BHAKTI MULTI ARTHA Tbk,OTHERS - MISCELLANENEOUS INDUSTRY,3.96,197979000,278160495000.0,Corporation,Local
PT. Arima Karya Persada,BHAT,BHAKTI MULTI ARTHA Tbk,OTHERS - MISCELLANENEOUS INDUSTRY,3.91,195553100,274752105500.0,Corporation,Local
"TIRTA CITRA SOLUSI, PT",BHAT,BHAKTI MULTI ARTHA Tbk,OTHERS - MISCELLANENEOUS INDUSTRY,2.96,147777500,207627387500.0,Corporation,Local
PT. ALANA CIPTA SELARAS,BHAT,BHAKTI MULTI ARTHA Tbk,OTHERS - MISCELLANENEOUS INDUSTRY,2.89,144299700,202741078500.0,Corporation,Local
"CAPITAL LIFE INDONESIA, PT",BHAT,BHAKTI MULTI ARTHA Tbk,OTHERS - MISCELLANENEOUS INDUSTRY,2.4,120030000,168642150000.0,Insurance,Local
PT ZED UTAMA PERSADA,BHAT,BHAKTI MULTI ARTHA Tbk,OTHERS - MISCELLANENEOUS INDUSTRY,2.26,113214800,159066794000.0,Corporation,Local
REKSA DANA SUCORINVEST EQUITY PRIMA FUND,BHAT,BHAKTI MULTI ARTHA Tbk,OTHERS - MISCELLANENEOUS INDUSTRY,1.91,95572400,134279222000.0,Mutual Fund,Local
PT. MEGAH ANGKASA PERKASA,BHAT,BHAKTI MULTI ARTHA Tbk,OTHERS - MISCELLANENEOUS INDUSTRY,1.58,79026600,111032373000.0,Corporation,Local
PT. CAPITAL ASSET MANAGEMENT,BHAT,BHAKTI MULTI ARTHA Tbk,OTHERS - MISCELLANENEOUS INDUSTRY,1.11,55470000,77935350000.0,Securities Co,Local
REKSA DANA SUCORINVEST EQUITY FUND,BHAT,BHAKTI MULTI ARTHA Tbk,OTHERS - MISCELLANENEOUS INDUSTRY,1.03,51693000,72628665000.0,Mutual Fund,Local
HT INVESTMENT DEVELOPMENT LTD,BHIT,MNC ASIA HOLDING Tbk,INVESTMENT COMPANY,15.38,13238835716,436881578628.0,Corporation,Foreign
CARAVAGGIO HOLDINGS LIMITED,BHIT,MNC ASIA HOLDING Tbk,INVESTMENT COMPANY,9.67,8321109800,274596623400.0,Others,Foreign
EP - BHAKTI PANJIWIRA,BHIT,MNC ASIA HOLDING Tbk,INVESTMENT COMPANY,6.11,5262220112,173653263696.0,Corporation,Local
RELIANCEVER HOLDINGS INC,BHIT,MNC ASIA HOLDING Tbk,INVESTMENT COMPANY,4.21,3627471299,119706552867.0,Others,Foreign
LITERATI CAPITAL INVESTMENTS LIMITED,BHIT,MNC ASIA HOLDING Tbk,INVESTMENT COMPANY,4.19,3603568065,118917746145.0,Corporation,Foreign
BOURKE INTERNATIONAL LTD,BHIT,MNC ASIA HOLDING Tbk,INVESTMENT COMPANY,4.09,3518352440,116105630520.0,Corporation,Foreign
PRINTEMPS INVESTMENTS INC.,BHIT,MNC ASIA HOLDING Tbk,INVESTMENT COMPANY,3.8,3267056289,107812857537.0,Corporation,Foreign
EXPRESS CYBER LTD,BHIT,MNC ASIA HOLDING Tbk,INVESTMENT COMPANY,3.41,2934156750,96827172750.0,Corporation,Foreign
MARCO PRINCE CORP,BHIT,MNC ASIA HOLDING Tbk,INVESTMENT COMPANY,3.24,2789940268,92068028844.0,Corporation,Foreign
HARY TANOESOEDIBJO,BHIT,MNC ASIA HOLDING Tbk,INVESTMENT COMPANY,3.12,2686468300,88653453900.0,Individual,Local
TEMPUS ETERNITY LTD.,BHIT,MNC ASIA HOLDING Tbk,INVESTMENT COMPANY,2.99,2574975100,84974178300.0,Corporation,Foreign
YARIS INTERNATIONAL LTD,BHIT,MNC ASIA HOLDING Tbk,INVESTMENT COMPANY,2.63,2266272430,74786990190.0,Corporation,Foreign
CHARLTON GROUP HOLDINGS LTD,BHIT,MNC ASIA HOLDING Tbk,INVESTMENT COMPANY,2.44,2098874017,69262842561.0,Insurance/Pension,Foreign
UOB KAY HIAN (HONG KONG) LTD,BHIT,MNC ASIA HOLDING Tbk,INVESTMENT COMPANY,2.14,1841798300,60779343900.0,Securities Co,Foreign
LIE EFFENDI HARSONO,BHIT,MNC ASIA HOLDING Tbk,INVESTMENT COMPANY,2.06,1775000000,58575000000.0,Individual,Local
REGENCY HIGH ENTERPRISE LTD,BHIT,MNC ASIA HOLDING Tbk,INVESTMENT COMPANY,1.84,1582892000,52235436000.0,Corporation,Foreign
PT. MNC ASIA HOLDING TBK,BHIT,MNC ASIA HOLDING Tbk,INVESTMENT COMPANY,1.8,1549565446,51135659718.0,Corporation,Local
TARGO FINANCE LIMITED,BHIT,MNC ASIA HOLDING Tbk,INVESTMENT COMPANY,1.5,1294000000,42702000000.0,Corporation,Foreign
STARLIGHT LTD,BHIT,MNC ASIA HOLDING Tbk,INVESTMENT COMPANY,1.24,1066689200,35200743600.0,Corporation,Foreign
RATNA ENDANG SOELISTYAWATI,BHIT,MNC ASIA HOLDING Tbk,INVESTMENT COMPANY,1.15,993051607,32770703031.0,Individual,Local
LILIANA SETIAWAN,BIKA,BINAKARYA JAYA ABADI Tbk,PROPERTY AND REAL ESTATE,33.92,200912700,11050198500.0,Individual,Local
BUDIANTO HALIM,BIKA,BINAKARYA JAYA ABADI Tbk,PROPERTY AND REAL ESTATE,32.02,189662100,10431415500.0,Individual,Local
ALI UMAR,BIKA,BINAKARYA JAYA ABADI Tbk,PROPERTY AND REAL ESTATE,5.08,30093100,1655120500.0,Individual,Local
LIN WEN LI,BIKA,BINAKARYA JAYA ABADI Tbk,PROPERTY AND REAL ESTATE,4.75,28133300,1547331500.0,Individual,Local
RUDY SUSANTO,BIKA,BINAKARYA JAYA ABADI Tbk,PROPERTY AND REAL ESTATE,4.75,28133300,1547331500.0,Individual,Local
AMY,BIKA,BINAKARYA JAYA ABADI Tbk,PROPERTY AND REAL ESTATE,4.5,26652600,1465893000.0,Individual,Local
HENGKY SOEGIHARTO GUNAWAN,BIKA,BINAKARYA JAYA ABADI Tbk,PROPERTY AND REAL ESTATE,4.23,25068600,1378773000.0,Individual,Local
TONY SUSANTO,BIKA,BINAKARYA JAYA ABADI Tbk,PROPERTY AND REAL ESTATE,3.0,17768400,977262000.0,Individual,Local
JOHANNA,BIKA,BINAKARYA JAYA ABADI Tbk,PROPERTY AND REAL ESTATE,1.48,8756200,481591000.0,Individual,Local
LEONARDO HANS HALIM,BIKA,BINAKARYA JAYA ABADI Tbk,PROPERTY AND REAL ESTATE,1.16,6880000,378400000.0,Individual,Local
HENRY MULYADI,BIKE,SEPEDA BERSAMA INDONESIA Tbk,"OTHERS - TRADE, SERVICES & INVESTMENT",25.3,327375000,122438250000.0,Individual,Local
ANDREW MULYADI,BIKE,SEPEDA BERSAMA INDONESIA Tbk,"OTHERS - TRADE, SERVICES & INVESTMENT",25.3,327375000,122438250000.0,Individual,Local
STEPHEN MULYADI,BIKE,SEPEDA BERSAMA INDONESIA Tbk,"OTHERS - TRADE, SERVICES & INVESTMENT",20.62,266750000,99764500000.0,Individual,Local
PT MULTI BUANA CARAKA,BIKE,SEPEDA BERSAMA INDONESIA Tbk,"OTHERS - TRADE, SERVICES & INVESTMENT",4.38,56674300,21196188200.0,Corporation,Local
PT FAJAR CAKRAWALA PRIMA,BIKE,SEPEDA BERSAMA INDONESIA Tbk,"OTHERS - TRADE, SERVICES & INVESTMENT",4.32,55875500,20897437000.0,Corporation,Local
PT WIRA CAKRA BERLIAN,BIKE,SEPEDA BERSAMA INDONESIA Tbk,"OTHERS - TRADE, SERVICES & INVESTMENT",3.94,50992000,19071008000.0,Corporation,Local
PT ARTHA BERKAH SINERGI,BIKE,SEPEDA BERSAMA INDONESIA Tbk,"OTHERS - TRADE, SERVICES & INVESTMENT",3.72,48103700,17990783800.0,Corporation,Local
PT RODA LANGIT SEMESTA,BIKE,SEPEDA BERSAMA INDONESIA Tbk,"OTHERS - TRADE, SERVICES & INVESTMENT",3.62,46851500,17522461000.0,Corporation,Local
TAN TJOE ING,BIKE,SEPEDA BERSAMA INDONESIA Tbk,"OTHERS - TRADE, SERVICES & INVESTMENT",1.87,24250000,9069500000.0,Individual,Local
TE RAHARJO PRAYITNO,BIKE,SEPEDA BERSAMA INDONESIA Tbk,"OTHERS - TRADE, SERVICES & INVESTMENT",1.81,23424700,8760837800.0,Individual,Local
GOLDEN LESTARI PT,BIMA,PRIMARINDO ASIA INFRASTRUCTURE Tbk,FOOTWEAR,86.57,526475716,43171008712.0,Corporation,Local
"USAHA BERSAMA SEKURITAS, PT",BIMA,PRIMARINDO ASIA INFRASTRUCTURE Tbk,FOOTWEAR,2.62,15916200,1305128400.0,Securities Co,Local
PT MAGMUS TEKNOLOGI NUSANTARA,BIMA,PRIMARINDO ASIA INFRASTRUCTURE Tbk,FOOTWEAR,1.13,6876400,563864800.0,Corporation,Local
PT. INDOLIFE PENSIONTAMA,BINA,BANK INA PERDANA Tbk,BANK,22.83,1400830852,6023572663600.0,Insurance,Local
PT. Samudra Biru,BINA,BANK INA PERDANA Tbk,BANK,18.16,1114213066,4791116183800.0,Corporation,Local
UOB KAY HIAN PRIVATE LIMITED,BINA,BANK INA PERDANA Tbk,BANK,16.86,1034416550,4447991165000.0,Securities Co,Foreign
"GAYA HIDUP MASA KINI, PT",BINA,BANK INA PERDANA Tbk,BANK,11.84,726190057,3122617245100.0,Corporation,Local
Lion Trust (Singapore) Limited,BINA,BANK INA PERDANA Tbk,BANK,9.67,593387750,2551567325000.0,Mutual Fund,Foreign
PT ASURANSI JIWA CENTRAL ASIA RAYA,BINA,BANK INA PERDANA Tbk,BANK,7.3,447677700,1925014110000.0,Insurance,Local
PT PHILADEL TERRA LESTARI,BINA,BANK INA PERDANA Tbk,BANK,4.57,280621700,1206673310000.0,Corporation,Local
21 INTERNATIONAL VENTURE SPC,BINA,BANK INA PERDANA Tbk,BANK,2.31,141895000,610148500000.0,Others,Foreign
PT ASURANSI CENTRAL ASIA,BINA,BANK INA PERDANA Tbk,BANK,1.29,78968800,339565840000.0,Insurance,Local
RUHONG HOLDING PTE LTD,BINO,PERMA PLASINDO Tbk,PROPERTY AND REAL ESTATE,85.68,1949465800,233935896000.0,Corporation,Foreign
PT INTAN PARIWARA,BINO,PERMA PLASINDO Tbk,PROPERTY AND REAL ESTATE,7.65,174000000,20880000000.0,Corporation,Local
PT Indotambang Perkasa,BIPI,ASTRINDO NUSANTARA INFRASTRUKTUR Tbk,CRUDE PETROLEUM & NATURAL GAS PROD.,19.39,12352555813,2223460046340.0,Corporation,Local
CGS INTERNATIONAL SECURITIES SINGAPORE PTE LTD,BIPI,ASTRINDO NUSANTARA INFRASTRUKTUR Tbk,CRUDE PETROLEUM & NATURAL GAS PROD.,12.71,8095170100,1457130618000.0,Insurance/Pension,Foreign
PT BAKRIE CAPITAL INDONESIA,BIPI,ASTRINDO NUSANTARA INFRASTRUKTUR Tbk,CRUDE PETROLEUM & NATURAL GAS PROD.,6.0,3822619800,688071564000.0,Corporation,Local
PT. KB VALBURY SEKURITAS,BIPI,ASTRINDO NUSANTARA INFRASTRUKTUR Tbk,CRUDE PETROLEUM & NATURAL GAS PROD.,4.94,3150000000,567000000000.0,Securities Co,Local
PT DANATAMA KAPITAL INVESTAMA,BIPI,ASTRINDO NUSANTARA INFRASTRUKTUR Tbk,CRUDE PETROLEUM & NATURAL GAS PROD.,3.66,2330359600,419464728000.0,Corporation,Local
KINGSWOOD UNION CORPORATION,BIPI,ASTRINDO NUSANTARA INFRASTRUKTUR Tbk,CRUDE PETROLEUM & NATURAL GAS PROD.,3.62,2306155436,415107978480.0,Others,Foreign
INTERVENTURES CAPITAL PTE. LTD,BIPI,ASTRINDO NUSANTARA INFRASTRUKTUR Tbk,CRUDE PETROLEUM & NATURAL GAS PROD.,3.35,2133709000,384067620000.0,Others,Foreign
ASURANSI SIMAS JIWA,BIPI,ASTRINDO NUSANTARA INFRASTRUKTUR Tbk,CRUDE PETROLEUM & NATURAL GAS PROD.,2.64,1681578492,302684128560.0,Insurance,Local
PT FIRSTINDO FINANSIAL CORPORA,BIPI,ASTRINDO NUSANTARA INFRASTRUKTUR Tbk,CRUDE PETROLEUM & NATURAL GAS PROD.,2.43,1548295818,278693247240.0,Corporation,Local
PT TRUKINDO PERSADA SEJAHTERA,BIPI,ASTRINDO NUSANTARA INFRASTRUKTUR Tbk,CRUDE PETROLEUM & NATURAL GAS PROD.,2.4,1531061800,275591124000.0,Corporation,Local
MORGAN STANLEY AND CO INTERNATIONAL PLC,BIPI,ASTRINDO NUSANTARA INFRASTRUKTUR Tbk,CRUDE PETROLEUM & NATURAL GAS PROD.,1.96,1250021000,225003780000.0,Corporation,Foreign
"ROSEWOOD STRATEGIC INVESTMENT, PTE. LTD.",BIPI,ASTRINDO NUSANTARA INFRASTRUKTUR Tbk,CRUDE PETROLEUM & NATURAL GAS PROD.,1.35,859241400,154663452000.0,Corporation,Foreign
BARCLAYS CAPITAL SECURITIES LIMITED,BIPI,ASTRINDO NUSANTARA INFRASTRUKTUR Tbk,CRUDE PETROLEUM & NATURAL GAS PROD.,1.3,827308600,148915548000.0,Insurance/Pension,Foreign
"BERSAMA JAYA SOLUSI, PT",BIPI,ASTRINDO NUSANTARA INFRASTRUKTUR Tbk,CRUDE PETROLEUM & NATURAL GAS PROD.,1.23,783101210,140958217800.0,Corporation,Local
PT ASURANSI SINAR MAS,BIPI,ASTRINDO NUSANTARA INFRASTRUKTUR Tbk,CRUDE PETROLEUM & NATURAL GAS PROD.,1.17,743078600,133754148000.0,Insurance,Local
"Baskara Timur Kencana, PT",BIPI,ASTRINDO NUSANTARA INFRASTRUKTUR Tbk,CRUDE PETROLEUM & NATURAL GAS PROD.,1.05,666666600,119999988000.0,Corporation,Local
Knight Investments Pte Ltd,BIPI,ASTRINDO NUSANTARA INFRASTRUKTUR Tbk,CRUDE PETROLEUM & NATURAL GAS PROD.,1.05,666666600,119999988000.0,Others,Foreign
SAFIRE CAPITAL PTE.LTD.,BIPP,BHUWANATALA INDAH PERMAI Tbk,PROPERTY AND REAL ESTATE,61.62,3098530195,173517690920.0,Corporation,Foreign
PT. Victoria Investama Tbk,BIPP,BHUWANATALA INDAH PERMAI Tbk,PROPERTY AND REAL ESTATE,11.4,573267000,32102952000.0,Corporation,Local
SUZANNA TANOJO,BIPP,BHUWANATALA INDAH PERMAI Tbk,PROPERTY AND REAL ESTATE,4.42,222383030,12453449680.0,Individual,Local
LOUISE LI,BIPP,BHUWANATALA INDAH PERMAI Tbk,PROPERTY AND REAL ESTATE,2.23,112042000,6274352000.0,Individual,Foreign
PT. BINTANG MITRA SEMESTARAYA TBK,BIPP,BHUWANATALA INDAH PERMAI Tbk,PROPERTY AND REAL ESTATE,2.22,111850000,6263600000.0,Corporation,Local
PT Prolestari Megapersada,BIPP,BHUWANATALA INDAH PERMAI Tbk,PROPERTY AND REAL ESTATE,1.79,89800000,5028800000.0,Corporation,Local
EDDY WIBOWO,BIPP,BHUWANATALA INDAH PERMAI Tbk,PROPERTY AND REAL ESTATE,1.7,85415300,4783256800.0,Individual,Local
PT INTIDANA WIJAYA,BIPP,BHUWANATALA INDAH PERMAI Tbk,PROPERTY AND REAL ESTATE,1.66,83403000,4670568000.0,Corporation,Local
PT. PUSAKA CITRA DJOKOSOETONO,BIRD,BLUE BIRD Tbk,TRANSPORTATION,28.37,709857979,1167716375455.0,Corporation,Local
PURNOMO PRAWIRO,BIRD,BLUE BIRD Tbk,TRANSPORTATION,12.08,302294300,497274123500.0,Individual,Local
KRESNA PRIAWAN DJOKOSOETONO,BIRD,BLUE BIRD Tbk,TRANSPORTATION,6.2,155055000,255065475000.0,Individual,Local
"SIGIT P DJOKOSOETONO,IR,MBA",BIRD,BLUE BIRD Tbk,TRANSPORTATION,6.13,153451300,252427388500.0,Individual,Local
INDRA PRIAWAN DJOKOSOETONO,BIRD,BLUE BIRD Tbk,TRANSPORTATION,5.96,149176688,245395651760.0,Individual,Local
ADRIANTO DJOKOSOETONO,BIRD,BLUE BIRD Tbk,TRANSPORTATION,5.3,132715816,218317517320.0,Individual,Local
NONI SRI AYATI PURNOMO,BIRD,BLUE BIRD Tbk,TRANSPORTATION,4.83,120810000,198732450000.0,Individual,Local
PT GOTO GOJEK TOKOPEDIA TBK,BIRD,BLUE BIRD Tbk,TRANSPORTATION,4.32,108207016,178000541320.0,Corporation,Local
SRI ADRIYANI LESTARI,BIRD,BLUE BIRD Tbk,TRANSPORTATION,2.5,62560000,102911200000.0,Individual,Local
Sumitomo Corporation,BIRD,BLUE BIRD Tbk,TRANSPORTATION,1.98,49498305,81424711725.0,Corporation,Foreign
PURNOMO INVESTAMA,BIRD,BLUE BIRD Tbk,TRANSPORTATION,1.85,46401800,76330961000.0,Corporation,Local
PT CHANDRA INVESTAMA,BIRD,BLUE BIRD Tbk,TRANSPORTATION,1.58,39450000,64895250000.0,Corporation,Local
PURNOMO ENDANG INVESTAMA,BIRD,BLUE BIRD Tbk,TRANSPORTATION,1.31,32673617,53748099965.0,Corporation,Local
HONKY HARJO,BIRD,BLUE BIRD Tbk,TRANSPORTATION,1.06,26482200,43563219000.0,Individual,Local
AGRINDO PRATAMA PT,BISI,BISI INTERNATIONAL Tbk,CROPS,31.0,930000000,771900000000.0,Corporation,Local
VALLEY INVESTMENT HOLDINGS PTE LTD,BISI,BISI INTERNATIONAL Tbk,CROPS,6.36,190687500,158270625000.0,Unknown,Foreign
FIELD INVESTMENT HOLDINGS PTELTD,BISI,BISI INTERNATIONAL Tbk,CROPS,6.36,190687500,158270625000.0,Corporation,Foreign
UBS AG SINGAPORE BRANCH,BISI,BISI INTERNATIONAL Tbk,CROPS,5.3,158977000,131950910000.0,Insurance/Pension,Foreign
UNITED OVERSEAS BANK NOMINEES (PRIVATE) LIMITED,BISI,BISI INTERNATIONAL Tbk,CROPS,5.09,152683500,126727305000.0,Corporation,Foreign
CITIBANK HONG KONG S/A PBG CLIENTS SG,BISI,BISI INTERNATIONAL Tbk,CROPS,4.92,147500000,122425000000.0,Insurance/Pension,Foreign
DEUTSCHE BK AG (PRIVATE BANKING) SPORE WM CLIENT,BISI,BISI INTERNATIONAL Tbk,CROPS,4.88,146300000,121429000000.0,Insurance/Pension,Foreign
LGT BANK AG,BISI,BISI INTERNATIONAL Tbk,CROPS,4.65,139358500,115667555000.0,Insurance/Pension,Foreign
SJ BISI HOLDINGS PTE LTD,BISI,BISI INTERNATIONAL Tbk,CROPS,4.08,122250000,101467500000.0,Corporation,Foreign
RBC SINGAPORE - CLIENTS A/C,BISI,BISI INTERNATIONAL Tbk,CROPS,3.68,110419500,91648185000.0,Insurance/Pension,Foreign
UBS AG HONG KONG,BISI,BISI INTERNATIONAL Tbk,CROPS,2.07,62119500,51559185000.0,Insurance/Pension,Foreign
UOB KAY HIAN PRIVATE LIMITED,BISI,BISI INTERNATIONAL Tbk,CROPS,1.47,44144100,36639603000.0,Securities Co,Foreign
